X,Y,Z
-2.0751953,1.2817383,0.9765625
-2.319336,1.4038086,0.9765625
-2.1362305,1.0986328,1.0375977
-2.319336,1.5869141,1.0986328
-2.1362305,1.2817383,1.0375977
-2.380371,1.4038086,0.91552734
-2.0751953,1.3427734,0.8544922
-2.319336,1.3427734,1.0986328
-2.1972656,1.159668,0.9765625
-2.319336,1.5258789,1.159668
-2.2583008,1.3427734,0.91552734
-2.380371,1.4648438,1.0375977
-2.380371,1.4038086,1.0986328
-2.4414063,1.4648438,0.91552734
-2.0751953,1.159668,1.0375977
-2.4414063,1.4038086,1.159668
-2.319336,1.3427734,1.159668
-2.4414063,1.159668,0.9765625
-2.319336,1.4038086,1.0375977
-2.1972656,1.2817383,0.9765625
-2.319336,1.4648438,1.0986328
-2.1972656,1.0986328,1.2207031
-2.0751953,1.4038086,1.0986328
-2.2583008,1.4648438,0.91552734
-2.4414063,1.3427734,0.91552734
-2.0751953,1.2817383,1.0375977
-2.319336,1.2207031,1.159668
-2.4414063,1.4038086,1.159668
-2.380371,1.2817383,1.0986328
-2.0751953,1.2817383,1.0986328
-2.4414063,1.3427734,1.0375977
-2.1972656,1.5258789,0.91552734
-2.380371,1.2817383,0.91552734
-2.380371,1.159668,1.0375977
-2.1972656,1.5258789,1.0986328
-2.1972656,1.4648438,0.91552734
-2.319336,1.4648438,1.0986328
-2.1972656,1.2817383,1.0375977
-2.1362305,1.3427734,1.0375977
-2.319336,1.3427734,1.159668
-2.1972656,1.2817383,0.9765625
-2.319336,1.4648438,0.91552734
-2.2583008,1.4038086,1.2207031
-2.1362305,1.2207031,1.0986328
-2.319336,1.4038086,1.0375977
-2.2583008,1.4648438,1.159668
-2.2583008,1.4038086,1.159668
-2.0751953,1.159668,1.0375977
-2.0751953,1.4038086,1.0375977
-2.5634766,1.4038086,1.0375977
-2.380371,1.4038086,0.9765625
-2.2583008,1.4648438,0.91552734
-2.2583008,1.4648438,1.0986328
-2.380371,1.2207031,1.0375977
-2.319336,1.4038086,0.9765625
-2.319336,1.4648438,0.91552734
-2.1362305,1.2207031,1.0986328
-2.2583008,1.3427734,1.2207031
-2.4414063,1.2207031,0.91552734
-2.380371,1.2817383,1.0375977
-2.1972656,1.3427734,1.0986328
-2.1362305,1.2207031,1.0375977
-2.1972656,1.2207031,0.9765625
-2.319336,1.0986328,1.0375977
-2.319336,1.3427734,1.0375977
-2.2583008,0.9765625,1.0986328
-2.2583008,1.0375977,0.9765625
-2.4414063,1.2207031,1.0375977
-1.953125,1.3427734,0.8544922
-2.1972656,1.2207031,1.0375977
-2.319336,1.2817383,0.9765625
-2.2583008,1.159668,1.2817383
-2.2583008,1.4648438,1.0375977
-2.1362305,1.5258789,1.0986328

