X,Y
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.752,-4.14
9.752,-4.14
9.936001,-4.0480003
9.936001,-4.0480003
9.936001,-4.0480003
9.936001,-4.0480003
9.936001,-4.0480003
9.936001,-4.0480003
9.936001,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.752,-3.956
9.752,-3.956
9.752,-3.956
9.752,-3.956
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.936001,-4.0480003
9.936001,-4.0480003
9.936001,-4.0480003
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.752,-3.956
9.752,-3.956
9.752,-3.956
9.752,-3.956
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.844,-3.956
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.660001,-4.0480003
9.844,-4.14
9.844,-4.14
9.844,-4.14
9.844,-4.14
9.844,-4.14
9.844,-4.14
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.14
9.752,-4.14
9.752,-4.14
9.752,-4.14
9.660001,-4.14
9.660001,-4.14
9.660001,-4.14
9.660001,-4.14
9.660001,-4.14
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.14
9.752,-4.14
9.752,-4.14
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.844,-4.0480003
9.752,-4.0480003
9.752,-4.0480003
