[16-07-21_13:07:28.282][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:28.670][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:28.680][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:28.880][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:28.885][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:28.974][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:29.059][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:29.103][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:29.181][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:29.251][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:29.324][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:29.406][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:29.488][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:29.566][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:29.641][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:29.718][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:29.793][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:29.872][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:29.951][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:30.026][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:30.102][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:30.147][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:30.219][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:30.298][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:30.372][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:30.462][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:30.535][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:30.604][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:30.682][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:30.752][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:30.835][[hPa], [°C], [m]]1012.08997, 28.0, 9.662796
[16-07-21_13:07:30.896][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:30.978][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:31.025][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:31.103][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:31.178][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:31.253][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:31.322][[hPa], [°C], [m]]1011.85, 28.0, 11.662997
[16-07-21_13:07:31.398][[hPa], [°C], [m]]1011.88995, 28.0, 11.3300705
[16-07-21_13:07:31.472][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:31.542][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:31.623][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:31.696][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:31.779][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:31.858][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:31.940][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:31.985][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:32.059][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:32.141][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:32.218][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:32.297][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:32.376][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:32.458][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:32.538][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:32.582][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:32.666][[hPa], [°C], [m]]1011.88995, 28.0, 11.3300705
[16-07-21_13:07:32.746][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:32.824][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:32.909][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:32.971][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:33.039][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:33.123][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:33.174][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:33.268][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:33.348][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:33.393][[hPa], [°C], [m]]1012.07, 28.0, 9.829259
[16-07-21_13:07:33.474][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:33.557][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:33.644][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:33.693][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:33.789][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:33.864][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:33.945][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:33.992][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:34.076][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:34.154][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:34.238][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:34.287][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:34.372][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:34.453][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:34.501][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:34.593][[hPa], [°C], [m]]1012.08997, 28.0, 9.662796
[16-07-21_13:07:34.669][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:34.727][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:34.820][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:34.872][[hPa], [°C], [m]]1011.91, 28.0, 11.160965
[16-07-21_13:07:34.954][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:35.041][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:35.126][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:35.179][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:35.262][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:35.310][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:35.395][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:35.476][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:35.576][[hPa], [°C], [m]]1012.00995, 28.0, 10.328649
[16-07-21_13:07:35.631][[hPa], [°C], [m]]1011.94995, 28.0, 10.828038
[16-07-21_13:07:35.712][[hPa], [°C], [m]]1011.88995, 28.0, 11.3300705
[16-07-21_13:07:35.758][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
[16-07-21_13:07:35.835][[hPa], [°C], [m]]1011.97, 28.0, 10.661575
[16-07-21_13:07:35.929][[hPa], [°C], [m]]1012.02997, 28.0, 10.162186
