[16-07-21_15:20:18.876][[µT]X, Y, Z, Direção]-13.432, 17.664, 16.928001, 105.00718
[16-07-21_15:20:18.991][[µT]X, Y, Z, Direção]-13.524, 17.572, 16.928001, 105.3403
[16-07-21_15:20:19.012][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.836, 105.151436
[16-07-21_15:20:19.030][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.928001, 105.296646
[16-07-21_15:20:19.102][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.836, 105.296646
[16-07-21_15:20:19.175][[µT]X, Y, Z, Direção]-13.524, 17.388, 16.836, 105.6322
[16-07-21_15:20:19.252][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.928001, 105.151436
[16-07-21_15:20:19.322][[µT]X, Y, Z, Direção]-13.524, 17.388, 16.928001, 105.6322
[16-07-21_15:20:19.398][[µT]X, Y, Z, Direção]-13.432, 17.572, 16.744, 105.151436
[16-07-21_15:20:19.476][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.928001, 105.296646
[16-07-21_15:20:19.538][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.928001, 105.10657
[16-07-21_15:20:19.619][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.928001, 105.296646
[16-07-21_15:20:19.682][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.928001, 105.10657
[16-07-21_15:20:19.758][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.928001, 105.10657
[16-07-21_15:20:19.831][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.928001, 105.296646
[16-07-21_15:20:19.903][[µT]X, Y, Z, Direção]-13.340001, 17.572, 17.02, 104.96162
[16-07-21_15:20:19.977][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.836, 105.10657
[16-07-21_15:20:20.047][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.928001, 105.296646
[16-07-21_15:20:20.117][[µT]X, Y, Z, Direção]-13.340001, 17.480001, 16.836, 105.10657
[16-07-21_15:20:20.203][[µT]X, Y, Z, Direção]-13.524, 17.388, 16.836, 105.6322
[16-07-21_15:20:20.262][[µT]X, Y, Z, Direção]-13.524, 17.388, 16.744, 105.6322
[16-07-21_15:20:20.337][[µT]X, Y, Z, Direção]-13.432, 17.480001, 16.836, 105.296646
