[16-07-21_13:47:41.915][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819626
[16-07-21_13:47:41.983][[µT]X, Y, Z, Direção]16.1, 17.296, -20.883999, 24.80827
[16-07-21_13:47:42.047][[µT]X, Y, Z, Direção]16.008, 17.296, -20.883999, 24.971989
[16-07-21_13:47:42.128][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819626
[16-07-21_13:47:42.209][[µT]X, Y, Z, Direção]16.1, 17.204, -23.460001, 24.655846
[16-07-21_13:47:42.271][[µT]X, Y, Z, Direção]15.916, 17.204, -20.792, 24.98428
[16-07-21_13:47:42.342][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819626
[16-07-21_13:47:42.415][[µT]X, Y, Z, Direção]16.1, 17.204, -20.976002, 24.655846
[16-07-21_13:47:42.485][[µT]X, Y, Z, Direção]16.008, 17.296, -20.976002, 24.971989
[16-07-21_13:47:42.567][[µT]X, Y, Z, Direção]16.008, 17.112, -22.816, 24.666386
[16-07-21_13:47:42.643][[µT]X, Y, Z, Direção]16.008, 17.296, -21.068, 24.971989
[16-07-21_13:47:42.701][[µT]X, Y, Z, Direção]16.1, 17.204, -20.792, 24.655846
[16-07-21_13:47:42.786][[µT]X, Y, Z, Direção]16.008, 17.204, -20.792, 24.819626
[16-07-21_13:47:42.859][[µT]X, Y, Z, Direção]15.916, 17.204, -21.068, 24.98428
[16-07-21_13:47:42.943][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655846
[16-07-21_13:47:43.007][[µT]X, Y, Z, Direção]16.008, 17.296, -20.976002, 24.971989
[16-07-21_13:47:43.069][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819626
[16-07-21_13:47:43.146][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655846
[16-07-21_13:47:43.209][[µT]X, Y, Z, Direção]15.916, 17.204, -20.976002, 24.98428
[16-07-21_13:47:43.291][[µT]X, Y, Z, Direção]16.008, 17.296, -20.792, 24.971989
[16-07-21_13:47:43.355][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819626
[16-07-21_13:47:43.439][[µT]X, Y, Z, Direção]16.008, 17.296, -20.883999, 24.971989
[16-07-21_13:47:43.503][[µT]X, Y, Z, Direção]16.1, 17.296, -21.068, 24.80827
[16-07-21_13:47:43.580][[µT]X, Y, Z, Direção]16.1, 17.112, -20.976002, 24.502544
[16-07-21_13:47:43.650][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819626
[16-07-21_13:47:43.721][[µT]X, Y, Z, Direção]16.008, 17.296, -20.976002, 24.971989
[16-07-21_13:47:43.792][[µT]X, Y, Z, Direção]16.008, 17.296, -20.976002, 24.971989
[16-07-21_13:47:43.863][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819626
[16-07-21_13:47:43.934][[µT]X, Y, Z, Direção]16.008, 17.112, -20.883999, 24.666386
[16-07-21_13:47:44.021][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819626
[16-07-21_13:47:44.091][[µT]X, Y, Z, Direção]16.1, 17.204, -20.976002, 24.655846
[16-07-21_13:47:44.160][[µT]X, Y, Z, Direção]16.008, 17.112, -21.068, 24.666386
[16-07-21_13:47:44.228][[µT]X, Y, Z, Direção]15.916, 17.204, -22.908, 24.98428
[16-07-21_13:47:44.299][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655846
[16-07-21_13:47:44.371][[µT]X, Y, Z, Direção]16.008, 17.204, -20.792, 24.819626
[16-07-21_13:47:44.462][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819626
[16-07-21_13:47:44.515][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819626
[16-07-21_13:47:44.605][[µT]X, Y, Z, Direção]16.008, 17.296, -20.792, 24.971989
[16-07-21_13:47:44.668][[µT]X, Y, Z, Direção]16.008, 17.204, -20.792, 24.819626
[16-07-21_13:47:44.738][[µT]X, Y, Z, Direção]16.1, 17.112, -21.16, 24.502544
[16-07-21_13:47:44.808][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819626
[16-07-21_13:47:44.879][[µT]X, Y, Z, Direção]16.008, 17.296, -20.883999, 24.971989
[16-07-21_13:47:44.962][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819626
[16-07-21_13:47:45.029][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819626
[16-07-21_13:47:45.105][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655846
[16-07-21_13:47:45.173][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819626
[16-07-21_13:47:45.242][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819626
[16-07-21_13:47:45.320][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819626
[16-07-21_13:47:45.395][[µT]X, Y, Z, Direção]16.008, 17.296, -23.460001, 24.971989
[16-07-21_13:47:45.466][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819626
[16-07-21_13:47:45.534][[µT]X, Y, Z, Direção]15.916, 17.204, -21.068, 24.98428
[16-07-21_13:47:45.609][[µT]X, Y, Z, Direção]16.1, 17.204, -21.068, 24.655846
[16-07-21_13:47:45.681][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655846
[16-07-21_13:47:45.750][[µT]X, Y, Z, Direção]16.008, 17.112, -20.883999, 24.666386
[16-07-21_13:47:45.821][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819626
[16-07-21_13:47:45.898][[µT]X, Y, Z, Direção]16.1, 17.112, -21.068, 24.502544
[16-07-21_13:47:46.023][[µT]X, Y, Z, Direção]16.1, 17.296, -23.276001, 24.80827
[16-07-21_13:47:46.064][[µT]X, Y, Z, Direção]16.008, 17.296, -20.976002, 24.971989
[16-07-21_13:47:46.120][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819626
[16-07-21_13:47:46.188][[µT]X, Y, Z, Direção]16.1, 17.204, -20.976002, 24.655846
[16-07-21_13:47:46.275][[µT]X, Y, Z, Direção]16.008, 17.296, -20.976002, 24.971989
[16-07-21_13:47:46.343][[µT]X, Y, Z, Direção]16.1, 17.296, -20.883999, 24.80827
[16-07-21_13:47:46.415][[µT]X, Y, Z, Direção]16.008, 17.112, -20.976002, 24.666386
[16-07-21_13:47:46.485][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:46.554][[µT]X, Y, Z, Direção]16.1, 17.296, -20.883999, 24.808266
[16-07-21_13:47:46.626][[µT]X, Y, Z, Direção]16.1, 17.296, -20.976002, 24.808266
[16-07-21_13:47:46.702][[µT]X, Y, Z, Direção]16.008, 17.296, -20.883999, 24.971985
[16-07-21_13:47:46.768][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:46.841][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:46.919][[µT]X, Y, Z, Direção]16.008, 17.112, -21.068, 24.666382
[16-07-21_13:47:46.990][[µT]X, Y, Z, Direção]16.008, 17.112, -20.883999, 24.666382
[16-07-21_13:47:47.062][[µT]X, Y, Z, Direção]16.008, 17.296, -20.976002, 24.971985
[16-07-21_13:47:47.134][[µT]X, Y, Z, Direção]16.008, 17.296, -20.976002, 24.971985
[16-07-21_13:47:47.204][[µT]X, Y, Z, Direção]15.916, 17.204, -22.816, 24.984276
[16-07-21_13:47:47.281][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:47.351][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:47.434][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:47.505][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819622
[16-07-21_13:47:47.577][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:47.714][[µT]X, Y, Z, Direção]15.916, 17.204, -20.883999, 24.984276
[16-07-21_13:47:47.761][[µT]X, Y, Z, Direção]16.008, 17.296, -20.883999, 24.971985
[16-07-21_13:47:47.815][[µT]X, Y, Z, Direção]15.916, 17.112, -21.068, 24.8311
[16-07-21_13:47:47.892][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819622
[16-07-21_13:47:47.966][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:48.027][[µT]X, Y, Z, Direção]16.008, 17.204, -20.976002, 24.819622
[16-07-21_13:47:48.101][[µT]X, Y, Z, Direção]16.008, 17.296, -20.883999, 24.971985
[16-07-21_13:47:48.175][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:48.248][[µT]X, Y, Z, Direção]16.008, 17.388, -20.883999, 25.123478
[16-07-21_13:47:48.318][[µT]X, Y, Z, Direção]16.008, 17.204, -21.068, 24.819622
[16-07-21_13:47:48.391][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:48.463][[µT]X, Y, Z, Direção]16.1, 17.296, -20.976002, 24.808266
[16-07-21_13:47:48.539][[µT]X, Y, Z, Direção]16.008, 17.204, -20.883999, 24.819622
[16-07-21_13:47:48.615][[µT]X, Y, Z, Direção]16.1, 17.204, -20.976002, 24.655842
[16-07-21_13:47:48.688][[µT]X, Y, Z, Direção]15.916, 17.204, -23.092001, 24.984276
[16-07-21_13:47:48.792][[µT]X, Y, Z, Direção]16.1, 17.204, -20.883999, 24.655842
[16-07-21_13:47:48.857][[µT]X, Y, Z, Direção]15.916, 17.204, -20.976002, 24.984276
